LIQUOR_SUPPLIER,LIQUOR_CODE,LIQUOR_DESCRIPTION,LIQUOR_TYPE,QUANTITY,MEASUREMENT,UPDATED_BY,IS_ACTIVE,LAST_UPDATED_DATE,IMAGE_PATH
CONSTELLATION BRANDS,238,SVEDKA VODKA - CITRON - 750ML,LIQUOR,,,,,,
CONSTELLATION BRANDS,239,NOBILO REGIONAL COLLECTION CHARD - 750ML,WINE,,,,,,
HEAVEN HILL DISTILLERIES INC,240,DEEP EDDY PEACH VODKA - 1.75L,LIQUOR,,,,,,
HEAVEN HILL DISTILLERIES INC,241,DEEP EDDY RUBY RED GRAPEFRUIT VODKA - 50ML,LIQUOR,,,,,,
CRAFT WINE & SPIRITS OF MARYLAND LLC,242,JACKSON MORGAN SALTED CARAMEL - 750ML,LIQUOR,,,,,,
JIM BEAM BRANDS CO,243,JIM BEAM DOUBLE OAK BOURBON - 750ML,LIQUOR,,,,,,
JIM BEAM BRANDS CO,244,EFFEN VODKA - BLOOD ORANGE - 750ML,LIQUOR,,,,,,
JIM BEAM BRANDS CO,245,EFFEN VODKA - GREEN APPLE - 750ML,LIQUOR,,,,,,
CONSTELLATION BRANDS,246,SVEDKA VODKA - CLEMENTINE - 750ML,LIQUOR,,,,,,
MONSIEUR TOUTON SELECTION,247,VILLA JOLANDA PROSECCO - 750ML,WINE,,,,,,
A VINTNERS SELECTIONS,248,INDABA WESTERN CAPE MER - 750ML,WINE,,,,,,
CAMPARI AMERICA LLC,249,WILD TURKEY 81 - 1.75L,LIQUOR,,,,,,
A VINTNERS SELECTIONS,250,INDABA S/BLC WESTERN CAPE - 750ML,WINE,,,,,,
BUCK DISTRIBUTING COMPANY INC,251,STONE GO TO IPA 4/6 16.OZ CAN,BEER,,,,,,
BUCK DISTRIBUTING COMPANY INC,252,STONE ARROGANT BASTARD 4/6 16.OZ CAN,BEER,,,,,,
HEAVEN HILL DISTILLERIES INC,253,ARISTOCRAT 151 RUM GOLD - 1L,LIQUOR,,,,,,
HEAVEN HILL DISTILLERIES INC,254,E WILLIAMS GREEN BOURBON - 1.75L,LIQUOR,,,,,,
HEAVEN HILL DISTILLERIES INC,255,E WILLIAMS GREEN BOURBON - 750ML,LIQUOR,,,,,,
TI BEVERAGE GROUP LTD,256,VAMPIRE MERLOT - 750ML,WINE,,,,,,
TREASURY WINE ESTATES AMERICAS COMPANY,257,BV COASTAL MERLOT - 375ML,WINE,,,,,,
SAZERAC CO,258,KENTUCKY GENTLEMAN - 1.75L,LIQUOR,,,,,,
BROWN-FORMAN BEVERAGES WORLDWIDE,259,EARLY TIMES KENTUCKY WHISKEY - 1.75L,LIQUOR,,,,,,
JIM BEAM BRANDS CO,260,JIM BEAM BLACK - 1.75L,LIQUOR,,,,,,
JIM BEAM BRANDS CO,261,JIM BEAM BLACK - 750ML,LIQUOR,,,,,,
JIM BEAM BRANDS CO,262,MAKER'S MARK 90P - 750ML,LIQUOR,,,,,,
JIM BEAM BRANDS CO,263,JIM BEAM WHITE - 1.75L,LIQUOR,,,,,,
JIM BEAM BRANDS CO,264,JIM BEAM WHITE - 750ML,LIQUOR,,,,,,
JIM BEAM BRANDS CO,265,JIM BEAM WHITE - 200ML,LIQUOR,,,,,,
SOUTHERN GLAZERS WINE AND SPIRITS,266,AMARULA FRUIT CREAM LIQUEUR - 750ML,LIQUOR,,,,,,
REPUBLIC NATIONAL DISTRIBUTING CO,267,PLANETA LA SEGRETA ROSSO - 750ML,WINE,,,,,,
JIM BEAM BRANDS CO,268,JIM BEAM WHITE - 50ML,LIQUOR,,,,,,
SAZERAC CO,269,CANE RUM WHITE RUM - 750ML,LIQUOR,,,,,,
SAZERAC CO,270,RICH & RARE CANADIAN WHISKY - 1.75L,LIQUOR,,,,,,
CONSTELLATION BRANDS,271,PAUL MASSON BRANDY - APPLE - 750ML,LIQUOR,,,,,,
